store_id,region,store_name,store_x,store_y,store_addr,store_addr_new,store_tel,open_hours,n_link,website
18,경기,유일순대국 본점,127.0791335,38.1330104,경기도 연천군 연천읍 상리 125-3,경기도 연천군 연천읍 연신로494번길 12,031-834-0522,,1209178003,https://map.naver.com/v5/search/유일순대국 경기도 연천군 연천읍 상리 125-3 /place/1209178003
19,경기,궁평국수,127.1027890,38.0322030,경기도 연천군 청산면 궁평리 590 궁평삼거리,경기도 연천군 청산면 전영로 338,031-832-0934,평일 10:30~15:00 | 주말 10:30~17:00,19144910,https://map.naver.com/v5/search/궁평국수 경기도 연천군 청산면 궁평리 590 궁평삼거리/place/19144910
21,경기,양평손두부식당,127.1411492,38.2135018,경기도 연천군 신서면 대광리 147-5,경기도 연천군 신서면 고대산길 23-4,031-834-8297,매일 09:00~22:00,11731997,https://map.naver.com/v5/search/양평손두부 경기도 연천군 신서면 대광리 147-5/place/11731997
22,경기,고능생선구이시골밥상,127.0457591,38.0022716,경기도 연천군 전곡읍 고능리 103-1,경기도 연천군 전곡읍 양연로 1284,031-833-0150,매일 09:00~19:00 매년  (신정) 1월1일만휴무,21070672,https://map.naver.com/v5/search/고능생선구이시골밥상 경기도 연천군 전곡읍 고능리 103-1 /place/21070672
23,경기,백인더처치,127.1077555,38.0301032,경기도 연천군 청산면 궁평리 489-18,경기도 연천군 청산면 궁평로 71-1,031-833-1121,토요일 10:30~21:00 | 목요일 10:30~21:00 | 수요일 10:30~21:00 | 화요일 10:30~21:00 | 월요일 10:30~21:00 | 일요일 10:30~21:00 | 금요일 휴무,1763263823,https://map.naver.com/v5/search/백인더처치 경기도 연천군 청산면 489-18 /place/1763263823
24,경기,오두막골식당,127.0780296,38.0110786,경기도 연천군 청산면 대전리 552-1,경기도 연천군 청산면 청창로141번길 92,031-832-4177,매일 10:00~20:50,18871516,https://map.naver.com/v5/search/한탄강오두막골 경기도 연천군 청산면 대전리 581 /place/18871516
26,경기,보정가든,127.0576235,38.0146629,경기도 연천군 전곡읍 전곡리 689-4,경기도 연천군 전곡읍 선사로 14-72,031-832-0063,매일 09:00~21:00 연중무휴,31077602,https://map.naver.com/v5/search/보정가든 경기도 연천군 전곡읍 전곡리 689-4/place/31077602
27,경기,제일반점,127.0701280,38.0284900,경기도 연천군 전곡읍 전곡리 340-21,경기도 연천군 전곡읍 은전로 94 전곡사랑의교회,031-832-1236,매일 10:30~20:30,32098630,https://map.naver.com/v5/search/제일반점 경기도 연천군 전곡읍 전곡리 340-21 전곡사랑의교회/place/32098630
28,경기,고대산가든,127.1190646,38.1605228,경기도 연천군 신서면 도신리 770-34,경기도 연천군 신서면 도내로 149 광대울유원지,010-9046-7819,토요일 11:30~21:00 임시휴업. | 금요일 11:30~21:00 임시휴업. | 목요일 11:30~21:00 임시휴업. | 수요일 11:30~21:00 임시휴업. | 화요일 11:30~21:00 임시휴업. | 월요일 11:30~21:00 임시휴업. | 일요일 11:30~21:00 임시휴업. | 매일 11:30~21:00 임시휴업.,1894655915,https://map.naver.com/v5/search/고대산가든 경기도 연천군 신서면 대광리 160-1/place/1894655915
29,경기,파머스테이블,127.0049158,38.0892008,경기도 연천군 왕징면 북삼리 222,,031-833-1811,매일 10:00~21:30 Last order 20:00,33879802,https://map.naver.com/v5/search/파머스테이블 경기도 연천군 왕징면 북삼리 219-7/place/33879802
30,경기,구석기양평해장국 전곡점,127.0667680,38.0231770,경기도 연천군 전곡읍 전곡리 293-14,경기도 연천군 전곡읍 평화로 599-1,031-832-0088,평일 06:00~23:00,13323343,https://map.naver.com/v5/search/구석기양평해장국 경기도 연천군 전곡읍 전곡리 289-38/place/13323343
31,경기,코리안숯불닭바베큐 전곡점,127.0686759,38.0235160,경기도 연천군 전곡읍 전곡리 302-38,경기도 연천군 전곡읍 전곡역로 52,031-835-9300,매일 17:00~01:00,18864648,https://map.naver.com/v5/search/코리안숯불닭바베큐 경기도 연천군 전곡읍 전곡리 302-38/place/18864648
32,경기,아우라지매운탕,127.1134680,38.0425370,경기도 연천군 전곡읍 신답리 17-3,경기도 연천군 전곡읍 청연로 154,031-832-1514,매일 11:00~21:00,18869064,https://map.naver.com/v5/search/아우라지매운탕 경기도 연천군 전곡읍 신답리 17-3/place/18869064
33,경기,대호식당,127.1074875,38.1847429,경기도 연천군 신서면 도신리 285-26,경기도 연천군 신서면 연신로 1154,031-834-1416,,18874035,https://map.naver.com/v5/search/대호식당 경기도 연천군 신서면 도신리 285-148/place/18874035
34,경기,전에그보리밥집,127.0714794,37.9850169,경기도 연천군 청산면 초성리 406-2,경기도 연천군 청산면 청신로118번길 13,031-835-6959,매일 10:00~19:00,21620215,https://map.naver.com/v5/search/전에 그 보리밥집 경기도 연천군 청산면 초성리 406-2/place/21620215
35,경기,올라스터디카페,127.0681096,38.0265604,경기도 연천군 전곡읍 전곡리 460-4,경기도 연천군 전곡읍 전곡로 162 정우빌딩 5층,010-6247-5875,매일 00:00~24:00,1195600246,https://map.naver.com/v5/search/카페공간 경기도 연천군 전곡읍 전곡리 336-16/place/1195600246
36,경기,한량석쇠집 전곡점,127.0667091,38.0260923,경기도 연천군 전곡읍 전곡리 483-33,경기도 연천군 전곡읍 평화로 626,031-835-6969,,37051425,https://map.naver.com/v5/search/한량석쇠 경기도 연천군 전곡읍 전곡리 483-33/place/37051425
37,경기,화덕에통째로구운족발 연천점,127.0789917,38.1079736,경기도 연천군 연천읍 현가리 64-18 1층,경기도 연천군 연천읍 문화로 161,031-834-9980,평일 12:00~24:00 | 주말 10:00~24:00,38326748,https://map.naver.com/v5/search/화덕에통째로구운족발 연천점 경기도 연천군 연천읍 현가리 64-18 1층/place/38326748
38,경기,충남식당,127.0729992,38.1349766,경기도 연천군 연천읍 상리 395-2,경기도 연천군 연천읍 상리로86번길 3,031-834-0513,,19141956,https://map.naver.com/v5/search/충남식당 경기도 연천군 연천읍 상리 395-2/place/19141956
39,경기,산머루가든,127.0327561,37.9979824,경기도 연천군 전곡읍 양원리 374,경기도 연천군 전곡읍 양연로 1147,031-832-2568,,13478917,https://map.naver.com/v5/search/산머루가든 경기도 연천군 전곡읍 양원리 374/place/13478917
40,경기,백화원,127.0664095,38.0237303,경기도 연천군 전곡읍 전곡리 293-14,경기도 연천군 전곡읍 평화로 599-1,031-832-1100,,18865134,https://map.naver.com/v5/search/백화원 경기도 연천군 전곡읍 전곡리 293-14/place/18865134
41,경기,오두막골식당,127.0780296,38.0110786,경기도 연천군 청산면 대전리 552-1,경기도 연천군 청산면 청창로141번길 92,031-832-4177,매일 10:00~20:50,18871516,https://map.naver.com/v5/search/오두막골식당 경기도 연천군 청산면 대전리 552-1/place/18871516
42,경기,중앙회수산,127.0688682,38.0272226,경기도 연천군 전곡읍 전곡리 333-162,경기도 연천군 전곡읍 은전로78번길 25 중앙회수산,031-835-2400,,19143073,https://map.naver.com/v5/search/중앙회수산 경기도 연천군 전곡읍 전곡리 333-162/place/19143073
45,경기,우렁이랑장어랑,127.1406272,38.2129254,경기도 연천군 신서면 대광리 142-5 연신로1600번길 51,경기도 연천군 신서면 연신로1600번길 51,031-834-9848,매일 11:00~21:00 | 월요일 휴무 매주 월요일 휴무,37260530,https://map.naver.com/v5/search/우렁이랑장어랑 경기도 연천군 신서면 대광리 142-5/place/37260530
46,경기,구구무한삼겹,127.0677015,38.0256903,경기도 연천군 전곡읍 전곡리 476,경기도 연천군 전곡읍 온골로 53 2층,031-832-9901,매일 11:00~24:00,38341988,https://map.naver.com/v5/search/구구무한삼겹 경기도 연천군 전곡읍 전곡리 476 2층/place/38341988
47,경기,차이나,127.0759136,38.1049641,경기도 연천군 연천읍 현가리 88,경기도 연천군 연천읍 연천로 316,031-833-8833,매일 10:00~22:00,18860382,https://map.naver.com/v5/search/차이나 경기도 연천군 연천읍 현가리 88/place/18860382
48,경기,미향분식,127.0683812,38.0279048,경기도 연천군 전곡읍 전곡리 459-37,경기도 연천군 전곡읍 은전로78번길 10,031-832-4375,매일 11:00~21:00 일요일 휴무,18865417,https://map.naver.com/v5/search/미향분식 경기도 연천군 전곡읍 전곡리 459-37/place/18865417
49,경기,청산짜장,127.1097212,38.0316667,경기도 연천군 청산면 궁평리 164-1,경기도 연천군 청산면 궁평로 93,031-835-3366,평일 10:00~20:00,18871947,https://map.naver.com/v5/search/청산짜장 경기도 연천군 청산면 궁평리 164-1/place/18871947
50,경기,진원각,127.0675090,38.0265260,경기도 연천군 전곡읍 전곡리 480-28,경기도 연천군 전곡읍 전곡로161번길 6,031-832-6608,,19143243,https://map.naver.com/v5/search/진원각 경기도 연천군 전곡읍 전곡리 480-28/place/19143243
51,경기,초밥좋은날,127.0697742,38.0253336,경기도 연천군 전곡읍 전곡리 333-43,경기도 연천군 전곡읍 전곡로144번길 16,031-832-7578,매일 12:00~21:00 재료준비 14:30~17:30 / 재료소진시 마감 | 월요일 휴무,36446117,https://map.naver.com/v5/search/초밥좋은날 경기도 연천군 전곡읍 전곡리 333-43/place/36446117
52,경기,명동왕족발보쌈전곡점,127.0655925,38.0302215,경기도 연천군 전곡읍 은대리 556-1,경기도 연천군 전곡읍 전곡로 205,031-833-5278,매일 09:00~01:30 연중무휴,37620504,https://map.naver.com/v5/search/명동왕족발보쌈 경기도 연천군 전곡읍 은대리 556-1/place/37620504
53,경기,대교설렁탕,126.9203219,37.9894449,경기도 연천군 백학면 노곡리 608-3,경기도 연천군 백학면 청정로46번길 24,031-835-2524,매일 05:00~15:00 연중무휴,237175792,https://map.naver.com/v5/search/대교설렁탕 경기도 연천군 백학면 노곡리 608-3/place/237175792
54,경기,하늘아래첫동네,126.9870496,37.9483472,경기도 연천군 전곡읍 늘목리 435-2,경기도 연천군 전곡읍 첫마을길 247,010-5205-7706,,11860127,https://map.naver.com/v5/search/하늘아래첫동네 경기도 연천군 전곡읍 늘목리 435-2/place/11860127
55,경기,돌고래통닭,127.0702625,38.0243374,경기도 연천군 전곡읍 전곡리 306-2,경기도 연천군 전곡읍 전곡역로 67,031-832-0751,매일 14:00~24:00 비정기적 휴무,18862969,https://map.naver.com/v5/search/돌고래통닭 경기도 연천군 전곡읍 전곡리 306-2/place/18862969
56,경기,민경이네김밥 전곡본점,127.0679666,38.0253526,경기도 연천군 전곡읍 전곡리 469-20,경기도 연천군 전곡읍 온골로 52,031-832-8295,매일 08:00~20:00,18865420,https://map.naver.com/v5/search/민경이네김밥 전곡본점 경기도 연천군 전곡읍 전곡리 473-3/place/18865420
57,경기,농원가든,127.1032255,38.0322010,경기도 연천군 청산면 궁평리 590,경기도 연천군 청산면 전영로 338,,,1870113684,https://map.naver.com/v5/search/농원가든 경기도 연천군 청산면 궁평리 590-5/place/1870113684
58,경기,이가네칡냉면,127.0686881,38.0249761,경기도 연천군 전곡읍 전곡리 469-29,경기도 연천군 전곡읍 전곡로 143,031-832-1060,,1040057428,https://map.naver.com/v5/search/이가네칡냉면 경기도 연천군 전곡읍 전곡리 469-29/place/1040057428
59,경기,구석기손두부,127.0546212,38.0070898,경기도 연천군 전곡읍 고능리 93-13,경기도 연천군 전곡읍 양연로1388번길 11,031-832-3555,매일 09:00~20:00,33535242,https://map.naver.com/v5/search/구석기손두부 경기도 연천군 전곡읍 고능리 93-13/place/33535242
60,경기,난타해물왕칼국수&쭈꾸미,127.0715269,38.0182287,경기도 연천군 전곡읍 전곡리 261-28,경기도 연천군 전곡읍 밤골로 16 난타해물왕칼국수,031-832-7179,매일 10:30~10:00,36655335,https://map.naver.com/v5/search/난타해물왕칼국수&쭈꾸미 경기도 연천군 전곡읍 전곡리 217-17/place/36655335
61,경기,미소육화 전곡점,127.0658040,38.0310918,경기도 연천군 전곡읍 은대리 550-8 미소육화 ,경기도 연천군 전곡읍 평화로698번길 12-35,031-833-8592,,37815303,https://map.naver.com/v5/search/미소육화 전곡점 경기도 연천군 전곡읍 은대리 550-8/place/37815303
62,경기,초성리식당,127.0930193,37.9881382,경기도 연천군 청산면 초성리 7-16,경기도 연천군 청산면 청신로 337,031-833-5528,매일 11:00~19:30,261999483,https://map.naver.com/v5/search/디미방 경기도 연천군 청산면 초성리 7-16/place/261999483
63,경기,압록강면옥,127.0691500,38.0306917,경기도 연천군 전곡읍 전곡리 447-41,경기도 연천군 전곡읍 은전로91번길 46,031-835-7224,매일 10:00~22:00,11878841,https://map.naver.com/v5/search/압록강면옥 경기도 연천군 전곡읍 전곡리 447-41/place/11878841
64,경기,아서원,127.0688780,38.0256567,경기도 연천군 전곡읍 전곡리 336-46,경기도 연천군 전곡읍 전곡로144번길 7-11 1층 아서원,031-832-3425,,18863017,https://map.naver.com/v5/search/아서원 경기도 연천군 전곡읍 전곡리 336-46 1층 아서원/place/18863017
65,경기,놀부타운,127.0694048,38.0258959,경기도 연천군 전곡읍 전곡리 336-16,경기도 연천군 전곡읍 은전로78번길 55,031-833-7878,평일 11:00~02:00 | 주말 11:00~02:00,18867472,https://map.naver.com/v5/search/놀부도마왕족발보쌈 경기도 연천군 전곡읍 전곡리 336-16/place/18867472
66,경기,밤나무집,126.9619954,38.0010552,경기도 연천군 백학면 구미리 15,경기도 연천군 백학면 노아로 460-25,031-835-5484,매일 10:00~20:00,18872748,https://map.naver.com/v5/search/밤나무집매운탕 경기도 연천군 백학면 구미리 15/place/18872748
67,경기,원조장군족발,127.0695782,38.0227604,경기도 연천군 전곡읍 전곡리 300-1,,031-832-0733,평일 17:00~24:00 | 주말 12:00~24:00,1932838166,https://map.naver.com/v5/search/원조장군족발 경기도 연천군 전곡읍 전곡리 314-2/place/1932838166
68,경기,커피빈스,127.0748285,38.0995182,경기도 연천군 연천읍 차탄리 34-46,,070-4241-9592,평일 08:30~21:00 | 일요일 10:00~21:00,36668163,https://map.naver.com/v5/search/커피빈스 경기도 연천군 연천읍 차탄리 34-46/place/36668163
69,경기,이성환피자 연천점,127.0776497,38.0765805,경기도 연천군 연천읍 통현리 256-4 문선자동차공업사 1층,경기도 연천군 연천읍 평화로 1220 문선자동차공업사,031-834-8777,평일 13:00~24:00 | 주말 10:30~24:00,37816863,https://map.naver.com/v5/search/이성환피자 연천점 경기도 연천군 연천읍 통현리 256-4 문선자동차공업사/place/37816863
70,경기,양평해장국 자유로CC점,126.9200360,37.9900651,경기도 연천군 백학면 노곡리 615-1,경기도 연천군 백학면 청정로 38,031-833-8388,매일 05:00~19:30 04:50분 부터 | 일요일 05:00~18:00 04:50분 부터,728235822,https://map.naver.com/v5/search/양평해장국 자유로CC점 경기도 연천군 백학면 노곡리 615-1/place/728235822
71,경기,약수오리,127.1391125,38.2138346,경기도 연천군 신서면 대광리 170-30,경기도 연천군 신서면 연신로 1616,031-834-1952,매일 11:00~22:30,12030418,https://map.naver.com/v5/search/약수오리 경기도 연천군 신서면 대광리 170-30/place/12030418
72,경기,바카스야바카스,127.0691567,38.0270558,경기도 연천군 전곡읍 전곡리 333-7,경기도 연천군 전곡읍 전곡로164번길 23,031-832-8181,,18863090,https://map.naver.com/v5/search/바카스 경기도 연천군 전곡읍 전곡리 333-7/place/18863090
73,경기,시나몬,127.0695929,38.0099774,경기도 연천군 전곡읍 전곡리 89-8,경기도 연천군 전곡읍 선사로 203,031-835-2234,토요일 11:00~23:00 월요일 휴무 | 금요일 11:00~23:00 월요일 휴무 | 목요일 11:00~23:00 월요일 휴무 | 수요일 11:00~23:00 월요일 휴무 | 화요일 11:00~23:00 월요일 휴무 | 일요일 11:00~22:00 월요일 휴무,18867580,https://map.naver.com/v5/search/시나몬 경기도 연천군 전곡읍 전곡리 89-8/place/18867580
74,경기,고려가든,126.9728047,38.0246639,경기도 연천군 미산면 아미리 11-2,경기도 연천군 미산면 숭의전로 381,031-835-5464,매일 11:00~17:00,18872829,https://map.naver.com/v5/search/고려가든 경기도 연천군 미산면 아미리 11-2/place/18872829
75,경기,평양메밀막국수,127.1387125,38.2131013,경기도 연천군 신서면 대광리 171-16,경기도 연천군 신서면 연신로 1604,031-834-7782,매일 11:00~18:00,19451967,https://map.naver.com/v5/search/평양메밀막국수 경기도 연천군 신서면 대광리 171-16/place/19451967
76,경기,신마포갈매기 전곡점,127.0695587,38.0251480,경기도 연천군 전곡읍 전곡리 336-76,경기도 연천군 전곡읍 전곡로144번길 10,031-835-6092,금요일 14:00~22:00 목요일 정기휴무 | 수요일 14:00~22:00 목요일 정기휴무 | 화요일 14:00~22:00 목요일 정기휴무 | 월요일 14:00~22:00 목요일 정기휴무 | 매일 14:00~22:00 목요일 정기휴무 | 일요일 10:30~22:00 | 토요일 10:30~22:00,34068806,https://map.naver.com/v5/search/신마포갈매기 전곡점 경기도 연천군 전곡읍 전곡리 336-76/place/34068806
78,경기,구석기숯불장군,127.0657098,38.0174575,경기도 연천군 전곡읍 전곡리 281-3,경기도 연천군 전곡읍 평화로 533-33,031-832-9290,,1740036108,https://map.naver.com/v5/search/구석기숯불장군 경기도 연천군 전곡읍 전곡리 278-22/place/1740036108
79,경기,플랫하우스,127.1106510,38.0361754,경기도 연천군 청산면 궁평리 38-4,경기도 연천군 청산면 아우라지길 57-24,031-832-2171,평일 11:00~20:00 | 토요일 10:00~20:00 | 일요일 휴무,779229050,https://map.naver.com/v5/search/플랫하우스 경기도 연천군 청산면 궁평리 38-4/place/779229050
N,o,I,n,f,o,,,,,
81,경기,오작교분식,127.0684515,38.0272626,경기도 연천군 전곡읍 전곡리 460-29,경기도 연천군 전곡읍 전곡로164번길 11-18,031-832-0424,매일 07:00~22:00 둘째주 화요일 휴무,18863682,https://map.naver.com/v5/search/오작교분식 경기도 연천군 전곡읍 전곡리 460-29/place/18863682
82,경기,먹고또오리,127.0556570,38.0289190,경기도 연천군 전곡읍 은대리 628-35,경기도 연천군 전곡읍 청정로 2435,031-832-5289,,18867910,https://map.naver.com/v5/search/먹고또오리 경기도 연천군 전곡읍 은대리 628-35/place/18867910
83,경기,신탄더덕오리,127.1371573,38.2133477,경기도 연천군 신서면 대광리 175-1,경기도 연천군 신서면 연신로1615번길 46,031-834-9558,매일 11:00~20:30,18873523,https://map.naver.com/v5/search/신탄더덕오리 경기도 연천군 신서면 대광리 175-1/place/18873523
84,경기,다미수제왕돈까스&해물짬뽕,127.0770639,38.1018528,경기도 연천군 연천읍 차탄리 50-11,경기도 연천군 연천읍 차현로 117,031-834-1488,월요일 휴무,21361899,https://map.naver.com/v5/search/다미수제왕돈까스 경기도 연천군 연천읍 차탄리 34-69/place/21361899
85,경기,오구족 전곡점,127.0685363,38.0285280,경기도 연천군 전곡읍 전곡리 459-12,경기도 연천군 전곡읍 은전로 81,031-832-5177,평일 14:00~24:00 | 주말 10:00~24:00,34292203,https://map.naver.com/v5/search/오구족 전곡점 경기도 연천군 전곡읍 전곡리 459-12/place/34292203
86,경기,아름다운연천한우,127.0637925,38.0318434,경기도 연천군 전곡읍 은대리 2245,경기도 연천군 전곡읍 평화로689번길 12,031-832-4001,평일 10:30~22:00,36939033,https://map.naver.com/v5/search/아름다운연천한우 경기도 연천군 전곡읍 은대리 2245/place/36939033
87,경기,초리,127.0057291,38.0878046,경기도 연천군 왕징면 북삼리 222,,031-833-3777,매일 10:00~21:00 20시 주문마감,37915516,https://map.naver.com/v5/search/초리 경기도 연천군 왕징면 북삼리 222/place/37915516
88,경기,육장군입구,127.0723362,38.0174062,경기도 연천군 전곡읍 전곡리,,,,1922379492,https://map.naver.com/v5/search/육장군 경기도 연천군 전곡읍 전곡리 239-26/place/1922379492
89,경기,영자네오리마을,127.0711575,38.0183991,경기도 연천군 전곡읍 전곡리 264,경기도 연천군 전곡읍 밤골로 13 홍익어린이집,031-833-9244,,18862579,https://map.naver.com/v5/search/영자네오리마을 경기도 연천군 전곡읍 전곡리 264 홍익어린이집/place/18862579
90,경기,신라가든,127.0663861,38.0019684,경기도 연천군 청산면 초성리 335-1,경기도 연천군 청산면 평화로 335,031-832-7666,평일 10:30~21:00 연중무휴. | 주말 10:30~21:00 연중무휴 | 공휴일 10:30~21:00 연중무휴,13017484,https://map.naver.com/v5/search/신라가든 경기도 연천군 청산면 초성리 335-1/place/13017484
91,경기,할매왕족발,127.0692458,38.0236548,경기도 연천군 전곡읍 전곡리 312-24,경기도 연천군 전곡읍 전곡역로 56,031-832-6677,매일 17:00~01:30,18863840,https://map.naver.com/v5/search/할매왕족발 경기도 연천군 전곡읍 전곡리 312-24/place/18863840
92,경기,뮬,127.0672671,38.0294985,경기도 연천군 전곡읍 은대리 543-2,경기도 연천군 전곡읍 전곡로188번길 3-13,031-833-2500,매일 12:00~01:00 격주 일요일 휴무,18868286,https://map.naver.com/v5/search/뮬 경기도 연천군 전곡읍 은대리 543-2/place/18868286
93,경기,다래향,127.0746235,38.1008486,경기도 연천군 연천읍 차탄리 34-249,경기도 연천군 연천읍 연천로 267-1 현대부동산,031-834-5559,매일 09:00~19:30,21606299,https://map.naver.com/v5/search/다래향 경기도 연천군 연천읍 차탄리 34-355 현대부동산/place/21606299
94,경기,아가페식당,127.0704423,38.0155947,경기도 연천군 전곡읍 전곡리 232-2,경기도 연천군 전곡읍 전곡로 25-23,031-834-4297,평일 11:30~20:30 둘째주 넷째주 월요일 휴무 | 주말 11:00~20:30,35701504,https://map.naver.com/v5/search/아가페식당 경기도 연천군 전곡읍 전곡리 232-2/place/35701504
95,경기,연초밥,127.0685791,38.0256628,경기도 연천군 전곡읍 전곡리 464-11 1층,경기도 연천군 전곡읍 전곡로 150-1 1층,070-4823-8762,매일 11:30~22:00 매주화요일 휴무,37006044,https://map.naver.com/v5/search/연초밥 경기도 연천군 전곡읍 전곡리 464-11 1층/place/37006044
96,경기,불끈장어 부끄송어,127.1471758,38.2139385,경기도 연천군 신서면 대광리 132,경기도 연천군 신서면 고대산길 83,031-834-5355,매일 11:00~21:30,38300003,https://map.naver.com/v5/search/불끈장어 부끄송어 경기도 연천군 신서면 대광리 132/place/38300003
N,o,I,n,f,o,,,,,
98,경기,평양면옥,126.9716337,37.7171005,경기도 양주시 장흥면 교현리 115-9 평양면옥,경기도 양주시 장흥면 호국로 515 평양면옥,031-826-4231,"매일 11:00~21:00 명절 전일,당일 휴무",13292246,https://map.naver.com/v5/search/평양면옥 경기도 양주시 장흥면 교현리 115-9/place/13292246
99,경기,용암리막국수,127.0522065,37.8581134,경기도 양주시 은현면 용암리 256,경기도 양주시 은현면 평화로1889번길 46-12,031-859-6224,매일 11:00~16:00 | 매일 16:30~21:00 | 화요일 휴무,36321278,https://map.naver.com/v5/search/용암리막국수 경기도 양주시 은현면 용암리 256/place/36321278
100,경기,덕화원,127.0625642,37.8440720,경기도 양주시 덕정동 350-84,경기도 양주시 덕정길 4,031-858-0103,매일 11:00~21:00 (재료 준비및 휴식시간 pm3:30~pm5:00) | 수요일 휴무,18076590,https://map.naver.com/v5/search/덕화원 경기도 양주시 덕정동 350-84/place/18076590
