,score,cluster,review
145,1.0,2,한번가고 다신 안감....먹을것도 없고 신선하지도 않고 맛도 없고...따지고보면 가격이 싼것도 아님.
146,1.0,2,우유맛
147,1.0,2,왜 비싼건지...송도라 가격만 비싼집
149,1.0,2,주인님의무관심 ㅠㅠ 비싼 음료값 ㅠㅠ
157,1.0,2,직원들 서비스가 너무 별로임. 이제 안감.
158,1.0,2,가성비가 떨어짐 고기는 맛있음
163,1.0,2,별로입니다
166,1.0,2,직원도 불친절하고 맛이 옛날이랑 다르네요
168,1.0,2,맛이없어요
175,1.0,2,별로임
182,1.0,2,"춥고
맛없고. 블러그는 거짓말이어o"
183,1.0,2,"별로였어요
저는"
188,1.0,2,불친절
189,1.0,2,불친절
191,1.0,2,비추 가성비 떨어짐
201,1.0,2,다음에는안오고싶네요
204,1.0,2,생각보다 많이 실망
206,1.0,2,"이집이 왜 유명한식당이 되었는지 이해가 안됨. 맛도  그냥그냥 정도이고, 가격도 비싸고, 그런데도
대기해야되고..."
207,1.0,2,"획일적인 맛. 억지스런 분위기, 정감없는 서비스"
208,1.0,2,맛이 변했네요. 불친절합니다
209,1.0,2,안맛있어
217,1.0,2,맛이 별로였어요
218,1.0,2,주인바뀌고 쏘쏘~
226,1.0,2,별로..펑범한맛..
229,1.0,2,2만원짜리 가격대비 떨어지는 퀄리티
231,1.0,2,맛 부족함
234,1.0,2,생각보다 별로 값은 비싸네요
236,1.0,2,가격에 비해서~~
238,1.0,2,가격대비 완전별로 였음
244,1.0,2,반찬이... 위생이...
246,1.0,2,맛없음
248,1.0,2,걍 비쌈
255,1.0,2,핫도그 정말꽝
262,1.0,2,가격대비 음식 허접하다
265,1.0,2,가성비가매우낮음ㆍ직원분들도ㆍ친절하지않음
266,1.0,2,그냥 분식인데  너무비싸네요
269,1.0,2,"맞없어  돈 아깝어~
꽃게탕~"
273,1.0,2,불친절하고 맛도별로고 무슨배짱으로 장사를 저렇게하는지 모르겠음
276,1.0,2,맛은 그저그렇고 곱창 나오는데 예약 안하면 기본 한두시간 걸림 차라리 안먹을랍니다 ㅋ
279,1.0,2,비싸요
280,1.0,2,별루요 햄도 너무짜고 맛없었음
284,1.0,2,"지금은 배때지 부른곳 다시는 절대안감  불친절 비매너
음식맛 모르겠음 왜  좋아하는지 진짜모르겠음
고추기름 범벅집"
287,1.0,2,맛도 별로. 가성비 꽝. 다시는 기고싶지 않은 곳
288,1.0,2,가격대비 넘넘 맛없어요~
292,1.0,2,맛없어요
293,1.0,2,맛없이 엄청매움
296,1.0,2,음식들별로.....
298,1.0,2,"가격대비비싸요맛은이정도
써비스는괜찬아요"
302,1.0,2,불친절 맛없음
304,1.0,2,"갈비는 양념이 넘세서 별로~
소고기는  냄새가  나고
사람많아도  맛있음 인정
그러나  사람 많고 맛없음~"
306,1.0,2,서비스 진짜 별로입니다. 걍 가지마세여
314,1.0,2,바지락 먹고 싶다면 추천 하지만 그외에는 특별한 맛이 있지는 않고 홀서빙이 좀 불친절함
316,1.0,2,가격에바
318,1.0,2,머리카락 졸라있고 맛또한 별로...
321,1.0,2,맛도 없고 양도 적고 비싸고 ..그냥 백반집가세요
325,1.0,2,너무 비쌈. 커피나 빵이나... 모두 다
327,1.0,2,너무 비싸고 맛도 별로입니다
330,1.0,2,비추천힙니다
334,1.0,2,음식도 별로...종업도 별로
335,1.0,2,절망수준
339,1.0,2,정말별루다
340,1.0,2,별로맛없다
343,1.0,2,비싸다
349,1.0,2,가격비싸기만하고 음식은 짜고..서비스 제로...
353,1.0,2,직원이  불친절하고  음식도  그럭저럭
354,1.0,2,다시는 안감. 식당 냄새부터 입맛 떨어짐. 맛도 안남.
356,1.0,2,"매우 비싸고 별로임
절대가지말아야할곳"
357,1.0,2,짭니다.직원분은 친절하세요
361,1.0,2,가격이너무 비쌈 맛은그럭저럭
365,1.0,2,"뭐가맛있다는건지.오래기다린건 둘째치고
완전 무맛.아무맛도 없음"
367,1.0,2,겉만 번지르르 가격은 천정부지 음식 퀄리티는 최저수준...교통지옥....다시는 안간다...별하나도 아깝...
373,1.0,2,다른 테이블 커피가 엉망으로 나가는거같아 아이스아메리카노 하나(5천원/테이크아웃 핫컵에 나와 놀랐음..)와 대추차 등의 전통차 세개시켰는데 대추차가 8천원이라니..육계장 설렁탕 한그릇 값인데..가격대비 너무 형편없는 맛..맛은 프랜차이즈 커피숍이 낫고 여긴 자리값인듯 근데 강남 청담보다 비쌈...뜨내기 등산객이 멋모르고 들렀다 다시 오지는 않을 카페. 전반적 퀄리티로보면 평균 3~4천원대 가격이 맞다
380,1.0,2,가격에 비해  다소  실망할수있는   곳~~
381,1.0,2,이전 맛을 기대한다면 ㄴㄴㄴ
387,1.0,2,사장이 불친절 함
392,1.0,2,비싸고 맛 없어요
393,1.0,2,서비스 위생 꽝
397,1.0,2,"제취향은 아니에요
이맛도 저맛도 아닌맛!?"
401,1.0,2,별로..;;
402,1.0,2,비추
409,1.0,2,소문듣고 오늘 다녀왓는데 직원들 너무 불친절 하네요. 고기맛잇는데 다신오고 싶지않은집 이네요.
410,1.0,2,매운탕넘맛이없어요 ~가실분매우탕은드시지마세요
413,1.0,2,음식  후회합니다 다시가지않을겁니다 돈이너무아까워요
414,1.0,2,진짜 맛없어요 돈아까비 비추입니다
418,1.0,2,직원이 불친절합니다. 맛 대비 가격이 비싼 편입니다
419,1.0,2,가지 마세요 맛 없어요 비싸기는 해요. 돈값 못 합니다
424,1.0,2,맛없고 양도 적고 돈 아까웠어요
425,1.0,2,"주차불편, 빵이 너무비쌈. 맛은 가격을 한참 못미침. 빵하나 사려면 15분에서 20분기다려야함.. 매우 비추. 가격대비 맛은 진짜별루. 가격 생각안하면 프랜차이즈 빵집보다는 괜찮음."
429,1.0,2,그닥
430,1.0,2,맛없음
431,1.0,2,별하나도 아까움
438,1.0,2,가격이저렴한지비싼지는잘모르겠어요 가격에비해반칠가지수가너무부족하네요 직원분들친절하시고인테리어는깨끗해요
440,1.0,2,최고예요!!
447,1.0,2,대체적으로 짜요
453,1.0,2,최악
454,1.0,2,불친절 맛없음요
455,1.0,2,서비스가 좋지 않습니다
460,1.0,2,별로임
462,1.0,2,위생적이지 않아요
463,1.0,2,아주별로막별로 절대다시안감
464,1.0,2,비싸기만함
465,1.0,2,사악한가격에 비해 맛도 그닥 음식구성도 그닥  친절함도 찾을수 없고..  뷰가 다한다는 어느님의 평에 저도 공감.. 허나 이렇게 좋은뷰를 가지고있고 음식맛까지 좋은 카페는 많으니 재방문의사는 전혀없습니다 맛있게하는 다른곳으로 갈꺼에요~
468,1.0,2,음식맛은 둘째치고 서빙하시는분이 너무 불친절하셔서 식사내내 언쟎았습니다.다시는 방문하고 싶지 않습니다.
480,1.0,2,맛별로예요
481,1.0,2,맛 없으요
483,1.0,2,"음식  맛, 서비스 모두 형편없음 최악  두번다시 안감"
485,1.0,2,짜고 별로
486,1.0,2,주인 매우불친절함
490,1.0,2,막국수가너무맛없어요
492,1.0,2,식당이 깨끗은한데 맛이 별로에요
498,1.0,2,불친절함
499,1.0,2,전보다. 형편없음
501,1.0,2,돈만있으면 굿
508,1.0,2,별로예
511,1.0,2,비싸요
512,1.0,2,비싸요
514,1.0,2,음식이 그닥.... 가격대비 별루예요
515,1.0,2,정신없구 가격도 비싸고
518,1.0,2,불친절불친절
519,1.0,2,별로같아요
526,1.0,2,음식은 논외로 하고... 매장 분위기 별로닷!
530,1.0,2,"평이함.시끄럽고, 맛도 그닥~"
531,1.0,2,맛없음
532,1.0,2,심심한 건강한 맛
534,1.0,2,"파스타 짭니다 고기도 별로 금액만큼의 서비스는
아니였어요. 재방문은 안합니다."
539,1.0,2,음식이 짜고 너무 느끼했어여 ㅠ
540,1.0,2,한개도 아깝네요
545,1.0,2,음식 종류도 많지않고 맛이별롭니다
550,1.0,2,정말 맛 없음
560,1.0,2,비빔국수는 별로입니다
561,1.0,2,별로
564,1.0,2,"고기 맛이 최악입니다.
너무 심하네요..ㅜㅜ"
565,1.0,2,별루예요
568,1.0,2,아주 별로입니다
570,1.0,2,맛없어
574,1.0,2,별루.....
575,1.0,2,"면은 부드럽지않고
김치는 너무맵고
깍두기는 너무쉬었고
로봇서빙은 너무 시끄럽고
진짜 양으로승부 보시지마시고
나오면서 테이블 남기신거 봤는데
다들 반도 안드심
진심 주차골목 들어가기 불편하고
기다린 시간아깝고
별 하나도 아까워요"
577,1.0,2,"음식이 형편 없음 맛도 별로 39,000원짜리 먹었는데 만 원짜리도 안 됨 응"
585,1.0,2,생각보다 맛이없음
587,1.0,2,절대 가지마세요.  어쩜  가격대비 형편없는맛과  가짓수에 화가날 지경입니다  엄청 후회막급입니다.  이런 경험 처음이라 황당한 마음에 리뷰 올립니다. 돈이 아까워요.
589,1.0,2,응안갈래
600,1.0,2,가성비  두번 오진 않을듯
606,1.0,2,"접객태도 최악
설거지상태도 좋지않아서 비위생적
가격은 괜찮은편이지만 접객태도랑 위생은
신경 좀 써주시길 바람"
610,1.0,2,고기 맛은 가격대비 좋음..근데..서비스는 꽝!
613,1.0,2,맛이없다
623,1.0,2,이것도 음식인가요?
625,1.0,2,"돈이 아까워요~ 밥은 질고, 반찬은 짜고, 고기는 냄새나고, 생선은 비린내 나고..."
626,1.0,2,"그냥 그런대로
서빙은친절"
629,1.0,2,"맛은 괜찮은데요
너무 불친절하네요"
630,1.0,2,별로
631,1.0,2,완전 별루임
632,1.0,2,양에 비해 너무비싸요
634,1.0,2,완전 불친정 다신 안감!
636,1.0,2,"겁나 비싼지역
개인적으론 비추"
637,1.0,2,맛은 있는데 불친절함
638,1.0,2,저렴하지도 않은데 친절하지도 않고 ...서비스 완전 엉망.... ... 진짜 실망이었어요ㅜ기념일이라 간건데....기분망쳤어요ㅜ
639,1.0,2,서비스도 별로고 음식이 항상 비슷해요
641,1.0,2,하ㅠㅠ너무 별로... 밥 양 개많고 그냥 맛없어요... 돈아까움
648,1.0,2,별로
653,1.0,2,일단 뭐든지 비싸고 써비스 꽝 .
657,1.0,2,맛 없어요.
660,1.0,2,그냥저냥
661,1.0,2,처음 한번은 괜찬은데 두번째인데 그닥 별로에요 질리고 느끼하고
664,1.0,2,손가는 음식이 없음
667,1.0,2,별루예요
671,1.0,2,맛도별로고 음식 너무 대충함
672,1.0,2,가격대비 꽝
675,1.0,2,그양 다른데 가시길
678,1.0,2,파전 실망입니다.
682,1.0,2,"친절하셔서 기분 좋았습니다
맛은 담백합니다"
684,1.0,2,"형편없어짐

차가운
장어구이
가격은
왜
또
그리
비싸
던지
노굿"
685,1.0,2,가격이너무비싸요. 맛도 예전같지않구
692,1.0,2,"음식이 양도작고 국물이 희한하게 맹탕이네요.
백숙 국물이 별로입니다."
693,1.0,2,맛이없었다
695,1.0,2,가격대비 별로
697,1.0,2,옛날 맛이 없음^^
699,1.0,2,비싸고 낡은 인테리어
700,1.0,2,별 하나
702,1.0,2,돈 아깝고....속버림
704,1.0,2,ㅎㅎ
712,1.0,2,솔직히 맛도별로 가성비도 별로였음 비빔밥은 8천원인데 울동네 3천원짜리보다도별로 비빔밥  기본인 계란후라이도없음
716,1.0,2,서비스 최악
720,1.0,2,줄을서서먹을정도는아닙니다
721,1.0,2,만족짱
725,1.0,2,너무달고.가격이비싸다.
726,1.0,2,별로네요
727,1.0,2,서비스 최악 맛은 더 최악 블로그랑 방송 믿지마세요
731,1.0,2,돈아까워요  최악
735,1.0,2,비쌈
739,1.0,2,음식은 맛있는데 서비스는 별루입니다. 좋은 경험이 아니라서 별로 가고 싶지 않네요
740,1.0,2,처음 장소인데 맛 좋음
742,1.0,2,"가격대비 음식 품질과 내용이 않좋습니다.
다시 갈것같지 않습니다."
744,1.0,2,"음식이 대체로 짠편이고 가격대비 별루~~
요즘 만원이면 괜찮은 집 많은데..."
746,1.0,2,밑반찬이 짱
747,1.0,2,"소문보다
별로에요"
751,1.0,2,맛이없음
753,1.0,2,다신 안간다
755,1.0,2,맛없음
757,1.0,2,계산원들의 친절이  아쉬워서 다시 가고싶지 않았다
758,1.0,2,서비스 엉망 가지마시고 다른곳을 가세요
759,1.0,2,비싸기만 함
761,1.0,2,별로에요...
764,1.0,2,그냥저냥
765,1.0,2,별루임
773,1.0,2,실망
775,1.0,2,가격대비 너무 맛없는 뷔페식당입니다 ㅜ
777,1.0,2,ㅡㅡ
783,1.0,2,"음식 최악 45000자리 한정식3개주문 음식 비쥬얼 괜찬음
주차 괜찬음 직원들 괜찬음 음식 정말최악 음식을 제외한 상견례 모임장소로 가기는 괜찬을듯 맛 있는 음식먹으러 가는거라면 말리고 싶음 7000천원짜리 백반이 나을듯"
785,1.0,2,맛이 변함
791,1.0,2,아니다.
798,1.0,2,절망수준
801,1.0,2,너무 비싸
802,1.0,2,특별한 맛은 모르겠더요~~
803,1.0,2,별  맛없음
811,1.0,2,"비싸고, 양도 적고..짜고 불친절 하고.."
813,1.0,2,지저분하고 엄청 비싸요
814,1.0,2,불친절하고.. 닭도리탕은 맵습니다...
815,1.0,2,고기는 맛있으나 너무너무 불친절함
816,1.0,2,최악의 개판가게ㅡㅡ 별한개도아까움
824,1.0,2,먹x돈나 맛없어
825,1.0,2,진짜최악 맛도 너무 없었지만 주방 홀 직원들 아무도 마스크안쓰고 위생관리가 전혀안됨 완전 찝찝 ㅠㅠㅠㅠ
826,1.0,2,가족모임을거기서 가졌어요 별루에요 맛도없구 ..ㅠ
834,1.0,2,음식은 별로 에요  다시 가고싶지않아요
836,1.0,2,서비스가 불친절함.
845,1.0,2,정말 맛이 없습니다. 가격도 너무 비싸네요.
847,1.0,2,별로였습니다 너무 비싸고
848,1.0,2,비쌈
850,1.0,2,불친절한 식당! 맛도없음 ㅡㅡ
858,1.0,2,맛이 갈수록 없어짐.돈이 아까워요
859,1.0,2,비추 청결상태불량  맛불량
865,1.0,2,별 하나 주기도 어렵따...
866,1.0,2,음식이 별로... 하나하나 특색있는 음식이 없음.
867,1.0,2,친절하지않아요
868,1.0,2,실망...
871,1.0,2,맛이별로
872,1.0,2,음식이 너무짜요ㅠ
873,1.0,2,맛없고 불친절 대마왕
877,1.0,2,장어가 별로다.
879,1.0,2,흠...왜 소고기 맛이 느껴지지 않는지...
880,1.0,2,질기고 비싸고 맛없음
885,1.0,2,예전에 비해 맛이 떨어짐
887,1.0,2,"가격 오름
조미료범벅"
888,1.0,2,음식 참 깔끔하고 넘 만족한 식당입니다
893,1.0,2,아주 형편 없다. 맛도 그저그렇고 기다리면서 먹을 정조는 아니다
895,1.0,2,"맛은 좋은데 불친절해요..
그래도 맛나서 자주가긴해요ㅠ"
897,1.0,2,별로임
898,1.0,2,별로다
903,1.0,2,기대하고갔는데 별로에요
906,1.0,2,"유명세에비해 맛이없어요
대실망"
912,1.0,2,짬뽕..쫄아드른 맛
913,1.0,2,주인이 너무 불친절해서 조금 불편했어요 맛은 짬뽕맛 이네요.
919,1.0,2,별로
920,1.0,2,요리부분은 진짜 비추...돈만 비쌈
925,1.0,2,맛이 별루다.
929,1.0,2,음식이 짜 너무 짜
935,1.0,2,가성비 별로
936,1.0,2,위생 상태 불량
937,1.0,2,비쌈 젤싼게 오만오천원 아줌마 불친절쩜
939,1.0,2,맛도 별루인데 직원들 불친절에 다시가고싶지않음
949,1.0,2,별루...........
959,1.0,2,"시끄러운 분위기..음식이  짜고...그저그런맛..지저분한 냄새..좁은 주차장..ㅡ.,ㅡ재방문의사 없슴."
961,1.0,2,별로
962,1.0,2,맛이 제로요
970,1.0,2,불친절 비쌈
973,1.0,2,먹을것도...없고 음식질도...낮음
974,1.0,2,가격 대비 품질이 좋지 않음. 피자 도 질이 좋지 않은 치즈 사용 하고 너무 느끼함
975,1.0,2,"최근 방문한 횟집중 최하 입니다.
맞도, 가격도, 서비스도. 근무하시는 분들도.
모두.
단. 인스타나  댓글 좋게 달면 음료는 서비스.
^^  ^^."
980,1.0,2,맛없음..
982,1.0,2,비싼데 그닥 ...
986,1.0,2,와 미국산  양념갈비 300그람 4만원  비싸기만더럽게비싸고  맛두없음
993,1.0,2,맛없음
994,1.0,2,대체로 비싸고 식당에서 기다려도 음식이 안나와 물어보니  우리음식이 다른곳에 가서 안나오는 등 서비스가 최악이예요
995,1.0,2,불친절해요
996,1.0,2,"물관리도 더럽고 바닥음식물떨어져있고 직원들 불친절..갔다와서 애들 몸에 가려움증이ㅡㅡ
두번다신 안가요 별하나도 아깝네요"
998,1.0,2,티비보구갔는데 딱히 평범했을뿐
1001,1.0,2,"진짜 니맛도 내맛도아님
진짜 기대하고갔다 실망하고옴"
1003,1.0,2,"맛도 별로, 더럽고, 갔는데 주인은 파리잡고있네
이유가있는 싼집이네"
1004,1.0,2,블로그 처럼 그닥 맛있진 않음
1009,1.0,2,평범함 가격대비 가성비 별로
1015,1.0,2,그닥.....
1016,1.0,2,맛이 옛날맛이 안나네 티비한번 나가면 좋은식당 다 망침 이젠 안갈듯
1019,1.0,2,전 진짜 별루
1020,1.0,2,"불친절하고, 가격도 비싸고, 외곽에 위치해 있는데 가성비도 별로에요. 비추합니다"
1021,1.0,2,완전아니다
1026,1.0,2,별다른 차이가 있는 건 아니고 그냥 그래요
1030,1.0,2,손님들에게 관심없고 된장찌개 김치찌개는 별로고 그나마 고기는 걍 삼겹살집맛 비추임다.
1035,1.0,2,너무짜요
1036,1.0,2,가성비 너무안좋아요
1037,1.0,2,진짜 맛없음
1038,1.0,2,방송대비 가성비 별루
1042,1.0,2,맛이없음.
1046,1.0,2,그냥그래요
1051,1.0,2,음식이 별로에요.집밥이 더 좋은것같아요
1053,1.0,2,"그냥
양 많은 동네 평범한 분식집 냉면 ..4"
1055,1.0,2,가격거품도 심하고 서비스최악 제대로된게 없음
1057,1.0,2,맛없음~~
1058,1.0,2,전체적으로 음식이 너무짜요
1060,1.0,2,서비스 엉망. 직원들 툴툴대서 밥맛 떨어짐
1062,1.0,2,비씬기만 하고 맛도 별로입니다
1071,1.0,2,해물탕 대 자에도 해물이 없음. 서빙도 불친절
1074,1.0,2,"맛은 기사식당
분위기는 함밥집
직원및 사장은 수준은 중국현지

절대 추천하지 않습니다."
1076,1.0,2,가격이 넘 비싸다..직원들 너무 지쳐서인지 불친절함...가격대비 맛 평범....
1083,1.0,2,완전불친절 벌레나오고...미안함이 전혀...가지마세요
1086,1.0,2,서비스 엉망  맛은 별루구요
1095,1.0,2,그다지
1097,1.0,2,바가지요금 그저평범한맛
1101,1.0,2,별로.....
1103,1.0,2,"예전보다 맛드 별르고 써비스드 꽝
불친절함"
1106,1.0,2,"김치맛!!!
칼국수는  별로!!!"
1110,1.0,2,불친절 영혼럾는 대답 완존꽝~~
1111,1.0,2,별로였어요실망했어요
1115,1.0,2,가격..  바가지가 말도못함...
1116,1.0,2,"맛이 예전과 엄청 달라짐.
양도 가격대비 적고 간이 싱거운편
예전맛 기대하고 가신다면 비추"
1118,1.0,2,"가성비 좋은
장어 집이네요..."
1121,1.0,2,가성비와 맛이 떨어짐
1126,1.0,2,비추
1134,1.0,2,딱  가격만큼입니다
1135,1.0,2,별로
1136,1.0,2,불친절함. 예전엔 안그랬는데 ㅡ.ㅡ
1139,1.0,2,별로네요
1144,1.0,2,홀서빙이  좀 더 친절했으면 하는 아쉬움이 남네요~
1145,1.0,2,가격에 비해 맛없음ㅠㅠ
1147,1.0,2,냉면맛은그럭저럭  보통이지만 서비스는 친절
1152,1.0,2,별로입니다
1161,1.0,2,진짜 별루
1163,1.0,2,나는 아닙니다
1164,1.0,2,별로야
1168,1.0,2,가격과 분위기에 비해 먹을것도 없고 맛은 그냥저냥 그냥 분위기만으로만 드실려면 가시고 아니면 저는 비추입니다~~~
1169,1.0,2,두번 들르지마세요
1171,1.0,2,비쌈. 맛도 자극적이라 고추장 국물 퍼마시고 돈내는집
1173,1.0,2,정말정말   별로  다시 가고싶지  않아요
1175,1.0,2,가성비가 없다
1177,1.0,2,친절하고께끝하고음식먹기편안홤
1180,1.0,2,맛없고  직원불친절 가고싶지 않아
1184,1.0,2,완전맛없음
1185,1.0,2,맛 하나도 없음
1188,1.0,2,"너무 싱겁고 이맛도 저맛도 아닌
소세지탕 ..너무 맛이없다"
1193,1.0,2,삼계탕 맛없네요
1201,1.0,2,넘 비싸요
1208,1.0,2,곤드레정식  값어치를 못합니다  가격에비해 반찬도 별로입니다
1210,1.0,2,두번다시안감
1212,1.0,2,"분위기나  커피맛은 굿,  여자 주인인지   종업원인지 모르겠으나 커피내리는  중년의 마른 여자분   고객대하는 태도 말투는  개떡 입니다.   불쾌지수 급상승 시킴!"
1213,1.0,2,최악
1217,1.0,2,전보다별루물가도비싸고지저분함
1218,1.0,2,아 너무 적어
1223,1.0,2,맛이 없다. 진짜
1225,1.0,2,별로. 서비스도 별로.  맛도 별로
1228,1.0,2,불친절한 모습에 대 실망
1238,1.0,2,"진짜 맛 없어요.
고기도 뷔페음식도 질이 너무 떨어져서
가뜩이나 먹을 거 없는데
팽이버섯 채워달라하고 10분 기다리고
라이스페이퍼 채워달라하고 5분 기다리고
정말 별로였습니다 진짜로.
8,000원이도 안 가고 싶은 곳인데 18,000원이라니??"
1242,1.0,2,"가격비싸고
비린내 살짝나고 저는별로더라구여
손님엄청많아여~~
전 그돈주고는 않가여
죄송해여"
1243,1.0,2,별로
1246,1.0,2,별하나도 아깝다
1248,1.0,2,가끔 가는 백화점 친절도 가격도 만족못했다
1252,1.0,2,별로
1257,1.0,2,기대에 비해 별로에요
1263,1.0,2,그냥 그럼
1264,1.0,2,최악
1265,1.0,2,"산행후 짜장면 먹음.
맛은 보통임."
1272,1.0,2,별로 청국장  맛 .
1276,1.0,2,"생각보다 별로고
추천하는  소고기 유니짜장은 비추"
1277,1.0,2,여긴 비싸기만하고 맛도없고 진짜 세상 불친절 별하나도 아까움
1278,1.0,2,돈아까워..
1279,1.0,2,맛이없다
1281,1.0,2,냉면 맛이 소문만 못하네요
1284,1.0,2,짜요 마니짜
1287,1.0,2,맛없음
1288,1.0,2,매우 별로였습니다.. 식당은 덥고.. 음식맛도 별로였어요..
1289,1.0,2,맛이 없어요
1290,1.0,2,불친절 하다
1292,1.0,2,별로다
1305,1.0,2,맛없고 비싸요
1307,1.0,2,"그냥 바람쐬러 가기는 괜찮은곳같고요,  음식은    그냥   평범"
1308,1.0,2,음식도별론에불친절합니다
1310,1.0,2,별로
1311,1.0,2,"서비스도 별루고, 메뉴판도 업데이트 안되 있구. 찬도 안주려고 하고, 사장 마인드 문제인 듯"
1314,1.0,2,빵점
1318,1.0,2,완전 노맛
1324,1.0,2,최악
1326,1.0,2,맛없음
1327,1.0,2,불친절
1329,1.0,2,가격만비싸고.. 맛은 롯데리아보다 못하네요
1332,1.0,2,음식은많은데안되는개많아요그래서손님이업나봐요밋반찬도형편업고물회를식혔는데맛도업고그런물회는처음먹었어요돈이아깝내요크면뭐해요형편업는대별주는것도아깝내요^
1336,1.0,2,예전에 비해 맛이 별루네요
1337,1.0,2,개인적으론.별로?
1338,1.0,2,넘 비싸요
1339,1.0,2,주인이 바뀌더니 별로
1341,1.0,2,"완전 불친절. 물어봐도 무시가 대부분
고기도 그냥그냥...  어이상실 매장"
1343,1.0,2,윽... 뭐지 이 맛도 저 맛도 아닌 ㅠㅠ
1344,1.0,2,"별로야,가지마세요"
1345,1.0,2,"완전  불친절 합니당--
맛은  좋지만  손님이  많아서  친절하지  않네요"
1346,1.0,2,"가격대비 음식의 양과질이  너무빠진다
7천원짜리 수준보다 못하다"
1353,1.0,2,"리모델링 전 보다 저는 많이 별로네요..
예전 맛이 그리웠는데 가격은 가보정급
맛은 ...."
1361,1.0,2,가성비 제로
1366,1.0,2,거품가격
1378,1.0,2,컵이너무 지저분하고 맛이었어요
1380,1.0,2,음.........
1381,1.0,2,서비스는 그럭저럭. 맛이별루..
1388,1.0,2,생각보다 맛은 쏘쏘했고 불친절한 말투에 깜짝 놀람
1389,1.0,2,고기가별로
1391,1.0,2,솔직히 별로에요
1392,1.0,2,"맛없음 미원맛만

불친절중국산만"
1397,1.0,2,음식이 짜고맛이 없어요
1398,1.0,2,맛없어 고추장맛
1399,1.0,2,싼건 싸고 비싼것도  많음  보통
1402,1.0,2,최악
1403,1.0,2,"음식에 비해  너무 가격이 비쌈,"
1404,1.0,2,"위생과 맛  아주 별로입니다.
절대 추천 못해요"
1407,1.0,2,완전비추~
1408,1.0,2,다시는 안갈듯
1409,1.0,2,비싼 가격대비 맛도 없고 친절하지도 않습니다. 그다지 추천할만한 곳은 아니네요...
